"id";"submitdate";"lastpage";"startlanguage";"seed";"token";"startdate";"datestamp";"G01Q00";"G01Q01";"G01Q02";"G01Q03[SQ001]";"G01Q03[SQ002]";"G01Q03[SQ003]";"G01Q03[SQ014]";"G01Q03[SQ004]";"G01Q03[SQ005]";"G01Q03[SQ006]";"G01Q03[SQ007]";"G01Q03[SQ008]";"G01Q03[SQ009]";"G01Q03[SQ013]";"G01Q03[SQ010]";"G01Q03[SQ011]";"G01Q03[SQ012]";"G01Q04";"G01Q05"
"27";"2023-03-06 10:32:00";"1";"de";"";"4z0GlXX78oRpZlI";"2023-03-06 10:32:00";"2023-03-06 10:32:00";"5";"5";"AO01";"";"Y";"";"";"";"";"";"";"";"";"";"";"";"";"5";"Sehr geehrte Damen und Herren, Fast immer klappt es auch mit der Verständigung. Bisher nur 2x falsches Geburtstagsjahr, und 2x den Name falsch geschrieben. Was evt. verbessert werden könnte,  sind die langen Wartezeit am Telefon, bis man jemanden von der Hotline erreichen kann. "
"29";"2023-03-06 10:33:00";"1";"de";"";"OmUCOa4gtc6qfOf";"2023-03-06 10:33:00";"2023-03-06 10:33:00";"5";"5";"AO01";"";"Y";"";"";"Y";"";"";"";"";"";"";"";"";"";"5";""
"30";"2023-03-06 10:34:00";"1";"de";"";"oizFPKEIr4vu6dk";"2023-03-06 10:34:00";"2023-03-06 10:34:00";"5";"5";"AO04";"Y";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";""
"31";"2023-03-06 11:21:00";"1";"de";"";"LaJMOK4kd671Pnc";"2023-03-06 11:21:00";"2023-03-06 11:21:00";"5";"5";"AO01";"";"Y";"";"";"";"Y";"";"";"";"";"";"";"";"";"5";"Ich bin bisher immer sehr zufrieden gewesen mit der Beratung. Zuletzt habe ich auch nicht mehr so lange in der Warteschleife gehangen, wie früher( trotz VIP)."
"32";"2023-03-06 11:22:00";"1";"de";"";"GjQuvqxhZME7Ldg";"2023-03-06 11:22:00";"2023-03-06 11:22:00";"5";"5";"AO01";"Y";"";"Y";"";"";"";"";"";"";"";"";"";"";"";"5";"Im Callcenter wurde ich bestens beraten, Dankeschön "
"34";"2023-03-06 11:24:00";"1";"de";"";"aHtOyZAjc2gfiW1";"2023-03-06 11:24:00";"2023-03-06 11:24:00";"4";"4";"AO01";"";"Y";"";"";"";"";"";"";"";"";"";"";"";"";"4";""
"37";"2023-03-06 11:25:00";"1";"de";"";"u4PWX8dHIDYQGTG";"2023-03-06 11:25:00";"2023-03-06 11:25:00";"5";"5";"AO01";"Y";"Y";"";"";"";"";"";"";"";"";"";"";"";"";"5";"Telefonisch stets sehr freundliche Beratung. Der Online-Ausfall von sonnenklar.tv am letzten Wochenende ist für Optionsbuchungen unschön, da man nach anderen Flugverbindungen selbst schauen möchte."
"38";"2023-03-06 11:25:00";"1";"de";"";"nfYZpfUdxu6eU5c";"2023-03-06 11:25:00";"2023-03-06 11:25:00";"5";"5";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"Y";"";"5";"sehr zufrieden.
wir buchen immer bei Ihnen.
Ciao!."
"39";"2023-03-06 11:26:00";"1";"de";"";"bMReWjoLjBHTGKO";"2023-03-06 11:26:00";"2023-03-06 11:26:00";"5";"5";"AO04";"";"";"";"";"Y";"";"";"";"";"";"";"";"";"";"5";"Da ich schon einmal gemacht habe und sehr zufrieden war, würde ich die Fahrt immer wieder machen "
"41";"2023-03-06 09:40:06";"1";"de";"724534149";"fuhXh765klY1Rft";"2023-03-06 09:31:17";"2023-03-06 09:40:06";"5";"5";"AO01";"";"Y";"";"";"";"";"Y";"";"";"";"";"";"Y";"";"5";"Die Beratung war perfekt!
Besonders die Freundlichkeit, Geduld und Kompetenz des Mitarbeiters.
Überrascht war ich allerdings, dass er mir die Türkeireise optionieren konnte, die eine Kollegin zuvor als ausgebucht bezeichnet hat.
Ich habe meine Reise dann in einem anderen Reisebüro gebucht, weil ich 5kg Gepäck hätte zubuchen müssen, ebenfalls die Versicherungen und die Sitzplatzreservierung, da war dann die Reise billiger.
Ein andermal, zu keiner Ferienzeit, komme ich wieder auf Sie zurück.
DANKE"
"42";"2023-03-06 11:25:00";"1";"de";"";"nfYZpfUdxu6eU5c";"2023-03-06 11:25:00";"2023-03-06 11:25:00";"5";"5";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"Y";"";"5";"dummy text"
"43";"2023-03-06 11:25:00";"1";"de";"";"nfYZpfUdxu6eU5c";"2023-03-06 11:25:00";"2023-03-06 11:25:00";"5";"5";"AO01";"";"";"";"";"";"";"";"";"";"";"";"";"Y";"";"5";""
